places,lat,lon,places_ko
Dongjak Bridge,37.510308,126.981832,동작대교
Seoul Forest Woodland Playground,37.544357,127.037444,서울숲공원
Iryeong station,37.701073,126.929235,일영역(기차역)
Dongho Bridge,37.536287,127.020984,동호대교
Yongin Daejanggeum Park,37.121173,127.336854,용인대장금파크
Jumunjin Beach,37.910152,128.820139,주문진해수욕장
Bomun Tourist Complex,35.842984,129.285793,경주보문관광단지
Camellia Hill,33.289779,126.368297,카멜리아 힐
Banpo Hangang Park,37.510591,126.995964,반포한강공원
RM Forest,37.523179,126.954024,RM forest 2
Hallyu K-Star Road,37.527401,127.042072,한류스타거리
Star Avenue,37.564982,126.981368,롯데 스타 에비뉴 면세점
HYBE Insight Museum,37.524547,126.964186,42 HYBE INSIGHT
BT21 LINE Friends Store Gangnam,37.501368,127.025608,라인프렌즈 강남 플래그십스토어
Big Hit Entertainment Studio,37.524547,126.964186,HYBE 엔터테인먼트
BT21 LINE Friends Store HongDae,37.556432,126.923806,라인프렌즈 홍대 플래그십스토어
