name,x,y
아산시청,127.0025583,36.789944
온주치안센터,127.020707,36.761904
천안동남경찰서 남산지구대,127.1539022,36.7987853
아산고등학교,127.0046746,36.7886551
공주금성여자고등학교,127.1117107,36.4584191
공주대학교 사범대학 부설고등학교,127.1201075,36.452755
농협,127.0094444,36.7323903
온양농협,127.0068234,36.7531307
온양농협,127.0170444,36.7615303
배방농협,127.046957,36.745146
농협,127.0156425,36.7840043
천안농협,127.154224,36.739701
천안농협,127.150905,36.737036
농협,127.1569645,36.6884467
농협,127.1215225,36.609558
사곡농협,127.019107,36.555978
우성농협,127.117883,36.496181
우성농협,127.052013,36.46935
정안농협,127.121991,36.534841
공주대학교 옥룡캠퍼스,127.120401,36.44816
한국방송통신대학교,127.1243581,36.4527995
송곡도서관,127.0143675,36.8001861
배방도서관,127.057838,36.773911
공주도서관,127.1263206,36.4516937
동원참치,127.0075855,36.7811861
당림미술관,127.0186788,36.7428297
다나산부인과,127.005295,36.784362
명소아과,127.002769,36.781303
아산삼성요양병원,126.998499,36.782268
채항외과,127.015542,36.78387
아산연합치과의원,127.00369,36.78244
아산포유치과의원,127.01801,36.77839
라임치과의원,127.0551347,36.7720223
허브치과,127.003198,36.7813109
아산치과,127.00451,36.78175
자매치과의원,127.0043579,36.7827491
미치과,127.0029816,36.7812894
예미담치과,127.07574,36.77381
아산서울치과의원,127.0034203,36.7810627
밝은미소 치과,127.05474,36.77449
서울안과,127.003761,36.781672
성모외과의원,127.008938,36.779868
정창호내과,127.00474,36.781356
양정형외과;수비뇨기과,127.004694,36.782302
이남민내과,127.003168,36.781658
김일호의원신경통증클리닉;(주)세림나무종합병원,127.0020386,36.784581
박종필성형외과,127.0043968,36.7815221
고려정형외과,127.0036194,36.781677
온양신경외과의원,127.002068,36.786119
최순규의원,127.004156,36.782342
윤경가정의학과의원,127.0154911,36.7619164
푸른정형외과의원,126.999753,36.781485
연세의원,127.0054903,36.7811993
중앙의원,127.001983,36.781396
제일내과의원,127.004671,36.782401
김병모내과의원,127.0050698,36.7835218
선내과,127.0025309,36.7814953
김기태소아과의원,127.000825,36.781756
김재현피부비뇨기과의원,127.002561,36.781761
이치중산부인과,127.001606,36.7815396
연세이비인후과의원,127.0036863,36.7815748
홍청훈정형외과,127.006858,36.780499
잎소아청소년과의원,127.055161,36.772033
예스피부과,127.0034476,36.7812439
오라클피부과,127.000919,36.779675
김안과,127.004694,36.782302
성심신경정신과,127.001589,36.781546
지상신경정신과;우리들의원,127.002354,36.781336
김남혁의원,127.004399,36.781768
하나의원,127.000489,36.781753
아산제일의원,127.054907,36.774491
미래메디칼의원,127.004037,36.782026
온양의원,127.004794,36.784132
가헌의원,127.0066562,36.7859739
갈매보건진료소,127.087749,36.762688
열린의원,127.009645,36.785047
차차한의원,127.054907,36.774491
늘푸른경희한의원,127.003864,36.783241
금곡보건진료소,127.044147,36.748675
감초한의원,127.069138,36.773305
아산아동발달센터,127.0019989,36.7846016
배방메디칼의원,127.069709,36.773337
중화한의원,127.0033415,36.781122
성심한의원,127.009596,36.785389
시민한의원,127.004894,36.782484
도솔한의원,127.00209,36.782658
덕산한의원,127.002524,36.782905
제중당한의원,127.000679,36.781772
경희의원,127.001331,36.781607
장수한의원,127.004391,36.781524
남한의원,127.0028298,36.7812372
삼광의료재단,127.01303,36.7892072
이한의원,127.0052,36.783901
온양한의원,127.005071,36.783522
영안당한의원,126.998196,36.778868
아산종합약국,127.004091,36.782198
시민약국,127.001173,36.7837069
충남나무병원,127.002267,36.786301
천안요양병원,127.1583,36.794166
오라클치과,127.128706,36.7957899
홍한의원,127.1243308,36.7997842
김영순성형외과,127.1295991,36.7971853
명인치과,127.14888,36.80058
연세필치과,127.1190003,36.8013424
본치과,127.12107,36.79252
누리정형외과의원,127.162529,36.79169
전피부과의원,127.1189175,36.8013549
천안서울안과 청수구성점,127.16032,36.793901
정기훈치과,127.1274641,36.7947499
고려치과병원,127.1604036,36.79383
명안과,127.1188321,36.8013647
최은 재활의학과 의원,127.153241,36.801737
유일동물병원,127.15155,36.80067
중앙동물병원,127.15372,36.79895
유일동물병원,127.15162,36.79943
장원동물병원,127.1579,36.79881
김수영동물병원,127.1179981,36.7983842
서울치과의원,127.1320685,36.7974475
윤철민치과의원,127.15047,36.79939
최치과의원,127.15056,36.80201
박치과의원,127.15021,36.80197
동고치과의원,127.1180507,36.7990004
큰사랑치과의원,127.15085,36.79972
연세이앤이치과,127.15909,36.79395
고려치과의원,127.1604422,36.7938008
유화치과,127.1319744,36.7976112
하얀치과의원,127.11575,36.79448
현대치과,127.1218209,36.7987648
포인트치과,127.15897,36.79449
쌍용문치과,127.1184546,36.798165
이왕재치과의원,127.129096,36.7959507
이튼치과,127.15997,36.7946
김엔장치과,127.1185096,36.7989776
안치과의원,127.15131,36.79913
송호환치과의원,127.15923,36.80149
홍한영치과,127.1590086,36.7944763
그린치과,127.1187875,36.8014369
천안엔디티재활의학과의원,127.161235,36.798405
김유재마취통증의학과의원,127.1295349,36.7970758
한우리의원,127.149856,36.799766
제이소아과의원,127.1189806,36.8017797
김선열가정의학과의원,127.1224255,36.7973698
최필선피부비뇨기과,127.1180017,36.798694
천안세브란스의원,127.148403,36.800422
이규신경외과의원,127.128936,36.7965419
연세정형외과,127.126216,36.80019
가톨릭피부과,127.1183505,36.7981723
호르몬내과의원,127.1288074,36.7965334
윤여일내과의원,127.159965,36.794601
동부혜성산부인과,127.160737,36.793705
남산의원,127.150352,36.799526
서울성심의원,127.174399,36.761031
정내과의원,127.159229,36.801491
부영소아과의원,127.1746488,36.7610225
윤내과의원,127.128886,36.7966763
제일소아청소년과의원,127.159126,36.795479
하얀피부과,127.1326779,36.7985395
이민형이비인후과,127.1286293,36.7953984
오선태정형외과,127.159689,36.798349
고정관흉부외과의원,127.128211,36.796167
다사랑의원,127.149658,36.800422
천안성모정형외과,127.162518,36.791681
삼성중앙의원,127.148939,36.800588
혜민신경정신과의원,127.159135,36.802914
천안성심의원,127.1531596,36.7992244
성심신경정신과의원,127.1531169,36.7992081
성심의원,127.153123,36.799248
시민한의원,127.160304,36.79327
늘푸른의원,127.155133,36.790683
,127.1193085,36.7245205
보산원보건진료소,127.0855156,36.6878819
천안제일의원,127.160195,36.794035
태화당한의원,127.1169221,36.7883185
맑은 마음정신과 의원,127.132756,36.468782
공주원희정신과,127.12149,36.459434
눈사랑안과,127.125757,36.456005
희망내과,127.1399996,36.4740896
최유상치과,127.12575,36.456
금강한의원,127.125156,36.458911
공주현대병원,127.1329953,36.4688753
성모안과,127.12408,36.460256
마음이편한정신과의원,127.1187659,36.4403766
고은아이소아과,127.1419478,36.4741453
연세내과,127.1336595,36.4718081
이피부비뇨기과,127.125746,36.455996
좋은내과의원,127.125074,36.458262
신관성모안과,127.1398867,36.4740473
김주성내과의원,127.1400172,36.4739961
이범식이비인후과,127.1420306,36.4741478
중앙방사선과의원,127.125746,36.455996
김욱중신경정신과,127.125059,36.458559
성보의원,127.133364,36.456231
순풍외과,127.124605,36.459232
서울안과,127.123746,36.460217
한빛신경과의원,127.124596,36.459052
우리연합의원,127.122953,36.458309
김내과,127.125746,36.455996
임성욱피부비뇨기과,127.137048,36.47423
이지한의원,127.146586,36.474488
의당보건지소,127.1356365,36.4946084
성루까의원,127.123232,36.458302
장원보건진료소,127.1264128,36.5774522
정안보건지소,127.122431,36.608633
(의료법인)은하의료재단부자의원 (( Uiryobeopin ) Eunhauiryojaedanbuja Clinic),127.123232,36.458302
용봉보건진료소,127.020997,36.441313
사곡보건지소,127.026843,36.501982
대산한의원,127.124064,36.459733
한솔통증의학과의원,127.123444,36.457322
형제한의원,127.124951,36.454259
동양한의원,127.123193,36.458762
경희한의원,127.12444,36.456094
서울한의원,127.124202,36.4600348
광제당한의원,127.124563,36.457997
용한의원,127.125144,36.458902
하나연합의원,127.123311,36.459267
하나로크리닉관리실,127.124563,36.457997
이건우의원,127.123746,36.460217
대성마을금고부설의원,127.121297,36.611004
우림한의원,127.122937,36.458715
소나무한의원,127.125059,36.459533
현가한의원,127.147962,36.44361
행림한의원,127.1399663,36.4740319
웅진한의원,127.124051,36.450954
김종희한의원,127.129673,36.456024
대원당한의원,127.126109,36.456494
신흥당한의원,127.124291,36.4584
세종한의원,127.1342494,36.4730432
공주한의원,127.122937,36.458715
경동한의원,127.120594,36.446827
감초당한의원,127.121777,36.458751
동의보감한의원,127.135508,36.473191
인성한의원,127.123519,36.454627
백제한의원,127.146282,36.473737
연춘당한의원,127.1221785,36.4546704
현대프라임요양병원,127.138027,36.574245
성곡사,127.0591944,36.4730948
마곡사,127.0154,36.54706
아산우체국,127.0013376,36.7890626
송악우체국,127.0096392,36.7332566
,127.1118341,36.7013375
공주우체국,127.1227585,36.454847
의당우체국,127.134491,36.511489
정안우체국,127.1219106,36.6093436
의당우체국,127.140209,36.498227
연화초등학교병설유치원,127.0950067,36.7869512
젤라유치원,127.1304622,36.8000516
백향목유치원,127.137804,36.770118
데레사유치원,127.1410431,36.7912979
푸른별유치원,127.1229473,36.796266
유에스에이영어유치원,127.1293884,36.8020123
우성유치원,127.053647,36.474491
신월초등학교유치원,127.148628,36.4736267
의당초등학교유치원,127.1542079,36.5306216
석송초등학교병설유치원,127.114185,36.564165
귀산초등학교병설유치원,127.112207,36.499546
대성상호저축은행,127.005714,36.781454
우리은행,127.076722,36.760224
국민은행,127.055161,36.772033
광덕면행정복지센터,127.1112026,36.6986394
사곡면 주민센터,127.0253358,36.5021409
옥룡동 주민센터,127.1373258,36.4574328
웅진동주민센터,127.1221677,36.4649497
우성면 주민센터,127.049619,36.470719
산신영주유소,127.013549,36.774129
아산중앙주유소,127.009666,36.779955
만빛시1호주유소,127.0020386,36.7846241
만빛신문사2호주유소,127.002006,36.784553
신영아산신영주유소,127.013549,36.774129
탑주유소,127.164139,36.795162
삼성주유소,127.170319,36.763373
극동주유소,127.152422,36.79571
신경남주유소,127.15316,36.801988
보산원주유소,127.075712,36.693027
창대한주유소,127.136917,36.772329
우리들주유소,127.152422,36.79571
지에스호남주유소,127.159737,36.793933
지에스신광주유소,127.166162,36.76867
신천안아이씨주유소,127.169831,36.762973
지에스신광명주유소,127.166162,36.76867
광덕산주유소,127.051637,36.673154
현대오일뱅크협신주유소,127.129448,36.765073
청룡주유소,127.138064,36.496382
장원주유소,127.118109,36.568863
아성주유소,127.140941,36.464181
중부주유소,127.073525,36.478018
송남중학교,127.004066,36.721615
아산중학교,127.0046533,36.7890845
공주여자중학교,127.118868,36.460416
공주중학교,127.118155,36.464232
공주대학교 사범대학 부설중학교,127.1194817,36.4525497
사곡중학교,127.030627,36.525329
금곡초등학교 병설유치원,127.0402596,36.7500931
,127.1120645,36.7013398
공주신월초등학교,127.1492226,36.4735152
공주교동초등학교,127.1164731,36.4593826
공주봉황초등학교,127.121002,36.449282
공주중동초등학교,127.124993,36.453502
공주마곡초등학교,127.03008,36.487677
아산축협,127.019706,36.771855
날로먹는회집,126.998708,36.776502
다도횟집,127.0020783,36.784596
태풍횟집,126.998551,36.775644
어부횟집,127.010804,36.78201
해초횟집,127.015224,36.782479
충무횟집,127.1209443,36.8017743
영일만횟집,127.135239,36.450098
도리티휴게소,127.166162,36.76867
북수5리마을회관,127.0672941,36.7744933
E1,127.1561053,36.4516159
쌍용,127.1212913,36.7937183
아산,127.1044526,36.7920971
배방,127.0529902,36.7776995
,127.1381728,36.4641123
쌍용패션거리,127.1316773,36.8021902
쌍용패션거리,127.131984,36.8024768
쌍용동,127.1316724,36.8021203
광명아파트,127.1268974,36.8007117
쌍용동사거리,127.1273964,36.7997495
주공7단지,127.1266241,36.8007375
천안주유소,127.1270343,36.8001417
봉명,127.135865,36.8012958
쌍용고가교,127.1263803,36.794145
이마트쌍용점,127.1290018,36.796193
쌍용고가교,127.1264529,36.7944368
이마트쌍용점,127.1286978,36.7962572
홍콩반점,127.0030753,36.7815851
피자헛,127.0046266,36.780857
킹콩바,127.0005823,36.7829025
목화반점,127.0193226,36.7613652
무성약국,127.0153959,36.7618095
착한식당,127.0150992,36.7619225
국민은행{kb bank),127.1361064,36.4735605
,127.1150689,36.5693237
선영 새마을금고,127.1431806,36.7988414
농협,127.1406864,36.8023381
카페 휴,127.177147,36.7602673
2층 카페,127.1792926,36.7608371
SK주유소,127.018665,36.7810122
서울닥터김치과의원,127.0184724,36.7818048
미소약국,127.0177485,36.7833846
오일뱅크,127.0172046,36.7845721
해맑은한의원,127.0149502,36.7840947
홍정훈정형외과,127.0152275,36.783801
연세원치과의원,127.0162161,36.783927
롯데리아,127.0160106,36.7839621
대한약국,127.0156751,36.7829465
아산약국,127.0153217,36.7829608
세성당약국,127.0153157,36.7827871
구룡3통경로당,127.1489329,36.766593
NH농협은행,127.0546305,36.7764437
우리은행,127.0550975,36.7724918
중리교회,127.1495796,36.7665112
꿈동산어린이집,127.1456583,36.7811414
천안제일교회,127.1456264,36.7810393
필충만주유소,127.1439181,36.778734
천안베스트원 요양병원,127.1652438,36.7673916
현대화물터미널 주유소,127.1644826,36.7656258
구룡2통경로당,127.1380523,36.7663379
천안축산농협 본점,127.1528784,36.7824016
우리은행 천안청수지점,127.1524915,36.7839782
새생명교회,127.1525988,36.7837655
중앙침례교회(Joong-ang Baptist Churche),127.1374115,36.4744602
뚜레쥬르(Tous Les Joures),127.1374726,36.4740442
파리바게뜨(Paris Baguett),127.1373531,36.4739709
농협,127.1403219,36.4991553
의당치안센터,127.1396293,36.4990136
농협 앞 벤치(bench),127.1401914,36.4990858
의당주유소,127.1409119,36.4992754
의당면,127.1401229,36.4990735
의당면,127.1398918,36.4990617
,127.140529,36.4989754
이서방치킨 의당점(Yiseobang Chicken Uidang Branch)(Delicious),127.1399752,36.5003172
수촌장로교회(Soochon Presbyterian Church),127.1391636,36.5060817
수촌삼거리,127.1390687,36.5052598
인정식당(Injeong Koren Restaurant),127.1392779,36.5035574
의당장로교회,127.1484749,36.5294187
,127.1487137,36.5294532
,127.1485447,36.5296262
,127.1193001,36.7224224
,127.1201606,36.7211142
,127.1199918,36.7224963
,127.1197162,36.7207445
청수한양수자인,127.1522845,36.7833758
구구단,127.1568173,36.7798845
김밥천국,127.1558668,36.7801349
,127.1518838,36.783308
,127.1517765,36.7832889
,127.1505354,36.7871957
,127.1505786,36.7874769
,127.1503815,36.7872891
,127.1502119,36.787312
,127.1505799,36.7875072
청수공원,127.1507064,36.7869718
,127.1506607,36.7871429
,127.1501661,36.7873392
,127.1501519,36.787545
,127.1505749,36.787451
청수공원,127.1476379,36.7884485
청룡 손짜장,127.1394027,36.4979858
공주시종합사회복지관,127.1363741,36.4939888
공주시종합사회복지관,127.1367346,36.4941201
스타벅스(Starbucks),127.1402475,36.4747584
삼환 정자,127.1318403,36.4745983
애니셀프세차장,127.0169639,36.787646
삼환나우빌 관리사무실,127.1319065,36.4742255
삼환나우빌 경비실,127.1323672,36.4747207
아주나유치원,127.0935119,36.7931568
온양삼일교회,127.0174626,36.7710536
뚜레쥬르,127.0046578,36.7811063
송남초등학교,127.010261,36.7327974
송악오일뱅크,127.0115433,36.7350747
교회,127.1159981,36.7994079
,127.1784173,36.7759101
,127.1778324,36.7761124
,127.1698061,36.7840248
,127.1691772,36.7841791
,127.1799348,36.776486
경비실,127.1786863,36.777209
호서노인전문요양원,127.1795794,36.7764055
,127.1792898,36.7765526
천안약국,127.1783936,36.7764981
장순네식당,127.1776052,36.7768902
CGV 천안펜타포트점,127.101104,36.7985701
하나로약국,127.1367818,36.8025716
순천당,127.1366276,36.8025073
다사랑약국,127.1365643,36.8024671
미래로약국,127.1364484,36.8024117
큰마당순대국,127.1364305,36.8023902
서산약국,127.1362394,36.8023232
김가네,127.135669,36.8020434
옛손칼국수,127.1355525,36.8019884
동해식당,127.135436,36.8019454
큰집설렁탕,127.13545,36.801937
본죽,127.1355674,36.8017182
쥬시,127.1356272,36.8016632
산토리니,127.135672,36.8016274
이디야 커피 순천향지점,127.1355226,36.8016202
피자마루,127.1355525,36.8015771
통 호두과자,127.1355824,36.801558
공주식당,127.1380783,36.8026341
대우4차 우체통,127.1333792,36.8020631
대우 4차 우체통,127.1340658,36.8024627
Starbucks,127.1270526,36.7955497
johnny rocket,127.1274389,36.7959277
Baskin-Robbins,127.1274067,36.7959234
,127.1330649,36.4728957
아산중앙교회,127.0455436,36.7715016
건강백세약국,127.1777877,36.7765193
길손칼국수,127.131165,36.7966521
KB국민은행 쌍용동지점,127.1290997,36.7960742
신한은행 쌍용동점,127.1281646,36.7953678
우리은행 신방동지점,127.1276747,36.7945246
브니엘교회,127.0046445,36.7735813
맘스터치,127.0034456,36.7821865
롯데리아,127.0039392,36.7820049
다정약국,127.010671,36.7815852
남동교차로,127.0384781,36.7731035
KDB 산업은행,127.0165197,36.783802
,127.0820461,36.7709683
남산골 족발,127.0107343,36.7827153
오븐에빠진닭,127.0110737,36.7837976
보람책방,127.0114629,36.7840644
맥도날드,127.0050737,36.7846208
광정침례교회,127.1232876,36.6098788
광혜약국,127.0158195,36.7827085
온양온천장,127.005245,36.7809371
녹집자요양병원,127.0072352,36.7809264
NH농협은행,127.0023752,36.7822408
공주대학교 우편취급국,127.1391496,36.4694763
,127.0170858,36.7899369
,127.0170694,36.7899506
호서의 집,127.1794143,36.7768016
세종한민족교육문화센터,127.1436316,36.4688769
천안아산,127.1044991,36.7943803
신방동 행정복지센터,127.1224789,36.7858962
시계탑,127.141084,36.7782839
,127.1495718,36.7870028
,127.1002949,36.7936837
엔젤리너스 롯데마트아산점,127.1072416,36.7966786
쌍용역예일병원계룡아파트,127.1225547,36.7930827
천안교육지원청,127.1110242,36.8004664
월봉중학교,127.111112,36.8017473
월봉고등학교,127.1093496,36.8021433
불당동문화카페거리,127.106795,36.8015765
충남북부상공회의소,127.1085955,36.7978788
충남북부상공회의소,127.1093613,36.7980155
불당한성A,127.1146291,36.8017567
용암마을,127.1202157,36.8010664
용암마을,127.1195834,36.8008256
월봉청솔A,127.1163259,36.80118
한화꿈에그린A,127.1136478,36.8015308
라이프A,127.1219157,36.8022957
라이프A,127.1220337,36.8023322
쌍용초등학교,127.1229299,36.8006162
쌍용한라동백아파트,127.1240334,36.8001383
