ROUTENAME,Place,Latitude,Longitude
"Trip to Nami Island with Petite France & Italian Village, Garden of Morning Calm",Nami Island,37.79172845,127.52514403423976
"Trip to Nami Island with Petite France & Italian Village, Garden of Morning Calm", Petite France,37.7147576,127.4908974
"Trip to Nami Island with Petite France & Italian Village, Garden of Morning Calm", The Garden of Morning Calm,37.741367600000004,127.35204510362773
Mount Seorak + Nami Island + Garden of Morning Calm Day Trip from Seoul,Seoraksan National Park,38.1340905,128.41721715767403
Mount Seorak + Nami Island + Garden of Morning Calm Day Trip from Seoul, Nami Island,37.79172845,127.52514403423976
Mount Seorak + Nami Island + Garden of Morning Calm Day Trip from Seoul, The Garden of Morning Calm,37.741367600000004,127.35204510362773
"Seoul Vicinity 5 in 1: Nami Island, Garden of Morning Calm & More",Nami Island,37.79172845,127.52514403423976
"Seoul Vicinity 5 in 1: Nami Island, Garden of Morning Calm & More", The Garden of Morning Calm,37.741367600000004,127.35204510362773
"Seoul Vicinity 5 in 1: Nami Island, Garden of Morning Calm & More", Gangchon Rail Park,37.816811,127.7132154
"Seoul Vicinity 5 in 1: Nami Island, Garden of Morning Calm & More", Petite France,37.7147576,127.4908974
Make Your Trip Around Nami Island With a Photographer Tourguide!!,Nami Island,37.79172845,127.52514403423976
Make Your Trip Around Nami Island With a Photographer Tourguide!!, Petite France,37.7147576,127.4908974
Make Your Trip Around Nami Island With a Photographer Tourguide!!, The Garden of Morning Calm,37.741367600000004,127.35204510362773
Full Day Tour In The Soop BTS Ver in PyeongChang Filming Location,Phoenix Blue Canyon,,
Full Day Tour In The Soop BTS Ver in PyeongChang Filming Location, Hyangho Beach,,
Jeju Island East Bus Tour with Lunch included Full Day Trip Tours,Jeolmul Natural Forest Resort,,
Jeju Island East Bus Tour with Lunch included Full Day Trip Tours, Seongeup Folk Village,33.3868315,126.800032
Jeju Island East Bus Tour with Lunch included Full Day Trip Tours, Gwangchigi Beach,,
Jeju Island East Bus Tour with Lunch included Full Day Trip Tours, Seongsan Ilchulbong,33.4584505,126.9420221
