ROUTENAME,Place,Place_KR,Latitude,Longitude
"Trip to Nami Island with Petite France & Italian Village, Garden of Morning Calm",Nami Island,Nami Island,,
"Trip to Nami Island with Petite France & Italian Village, Garden of Morning Calm", Petite France, Petite France,,
"Trip to Nami Island with Petite France & Italian Village, Garden of Morning Calm", The Garden of Morning Calm, The Garden of Morning Calm,,
Mount Seorak + Nami Island + Garden of Morning Calm Day Trip from Seoul,Seoraksan National Park,Seoraksan National Park,,
Mount Seorak + Nami Island + Garden of Morning Calm Day Trip from Seoul, Nami Island, Nami Island,,
Mount Seorak + Nami Island + Garden of Morning Calm Day Trip from Seoul, The Garden of Morning Calm, The Garden of Morning Calm,,
"Seoul Vicinity 5 in 1: Nami Island, Garden of Morning Calm & More",Nami Island,Nami Island,,
"Seoul Vicinity 5 in 1: Nami Island, Garden of Morning Calm & More", The Garden of Morning Calm, The Garden of Morning Calm,,
"Seoul Vicinity 5 in 1: Nami Island, Garden of Morning Calm & More", Gangchon Rail Park, Gangchon Rail Park,,
"Seoul Vicinity 5 in 1: Nami Island, Garden of Morning Calm & More", Petite France, Petite France,,
Make Your Trip Around Nami Island With a Photographer Tourguide!!,Nami Island,Nami Island,,
Make Your Trip Around Nami Island With a Photographer Tourguide!!, Petite France, Petite France,,
Make Your Trip Around Nami Island With a Photographer Tourguide!!, The Garden of Morning Calm, The Garden of Morning Calm,,
Full Day Tour In The Soop BTS Ver in PyeongChang Filming Location,Phoenix Blue Canyon,Phoenix Blue Canyon,,
Full Day Tour In The Soop BTS Ver in PyeongChang Filming Location, Hyangho Beach, Hyangho Beach,,
Jeju Island East Bus Tour with Lunch included Full Day Trip Tours,Jeolmul Natural Forest Resort,Jeolmul Natural Forest Resort,,
Jeju Island East Bus Tour with Lunch included Full Day Trip Tours, Seongeup Folk Village, Seongeup Folk Village,,
Jeju Island East Bus Tour with Lunch included Full Day Trip Tours, Gwangchigi Beach, Gwangchigi Beach,,
Jeju Island East Bus Tour with Lunch included Full Day Trip Tours, Seongsan Ilchulbong, Seongsan Ilchulbong,,
Jeju Island East Bus Tour with Lunch included Full Day Trip Tours, Manjanggul Lava Tube, Manjanggul Lava Tube,,
Nami Island and Petite France & Italian Village Day Trip from Seoul,Nami Island,Nami Island,,
Nami Island and Petite France & Italian Village Day Trip from Seoul, Petite France, Petite France,,
Day Trip to Nami Island with Rail bike and The Garden of Morning Calm,Nami Island,Nami Island,,
Day Trip to Nami Island with Rail bike and The Garden of Morning Calm, Gangchon Rail Park, Gangchon Rail Park,,
Day Trip to Nami Island with Rail bike and The Garden of Morning Calm, The Garden of Morning Calm, The Garden of Morning Calm,,
DMZ Group Tour: 3rd Invasion Tunnel& Suspension Bridge from Seoul,DMZ,DMZ,,
DMZ Group Tour: 3rd Invasion Tunnel& Suspension Bridge from Seoul, The Third Tunnel, The Third Tunnel,,
DMZ Group Tour: 3rd Invasion Tunnel& Suspension Bridge from Seoul, Dora Observatory, Dora Observatory,,
DMZ Group Tour: 3rd Invasion Tunnel& Suspension Bridge from Seoul, Gamaksan Chulleong Bridge, Gamaksan Chulleong Bridge,,
DMZ Group Tour: 3rd Invasion Tunnel& Suspension Bridge from Seoul, Majang Lake, Majang Lake,,
Best DMZ 3rd Infiltration Tunnel Tour from Seoul (No Shopping),Imjingak Pyeonghoa-Nuri Park,Imjingak Pyeonghoa-Nuri Park,,
Best DMZ 3rd Infiltration Tunnel Tour from Seoul (No Shopping), Bridge of Freedom, Bridge of Freedom,,
Best DMZ 3rd Infiltration Tunnel Tour from Seoul (No Shopping), DMZ, DMZ,,
Best DMZ 3rd Infiltration Tunnel Tour from Seoul (No Shopping), The Third Tunnel, The Third Tunnel,,
Best DMZ 3rd Infiltration Tunnel Tour from Seoul (No Shopping), Dora Observatory, Dora Observatory,,
Seoul City Private Full-Day Tour Including Lunch,Gwanghwamun Gate,Gwanghwamun Gate,,
Seoul City Private Full-Day Tour Including Lunch, Gyeongbokgung Palace, Gyeongbokgung Palace,,
Seoul City Private Full-Day Tour Including Lunch, Bukchon Hanok Village, Bukchon Hanok Village,,
Seoul City Private Full-Day Tour Including Lunch, Insadong, Insadong,,
Seoul City Private Full-Day Tour Including Lunch, Jogyesa Temple, Jogyesa Temple,,
Seoul City Private Full-Day Tour Including Lunch, N Seoul Tower, N Seoul Tower,,
Korean Demilitarized Zone (DMZ) Tour from Seoul- Hotel Pick Up & No Shopping,Seoul,Seoul,,
Korean Demilitarized Zone (DMZ) Tour from Seoul- Hotel Pick Up & No Shopping, Imjingak Park, Imjingak Park,,
Korean Demilitarized Zone (DMZ) Tour from Seoul- Hotel Pick Up & No Shopping, DMZ, DMZ,,
Korean Demilitarized Zone (DMZ) Tour from Seoul- Hotel Pick Up & No Shopping, Dorasan Station, Dorasan Station,,
Korean Demilitarized Zone (DMZ) Tour from Seoul- Hotel Pick Up & No Shopping, Dora Observatory, Dora Observatory,,
Korean Demilitarized Zone (DMZ) Tour from Seoul- Hotel Pick Up & No Shopping, Tongilchon-gil, Tongilchon-gil,,
Korean Demilitarized Zone (DMZ) Tour from Seoul- Hotel Pick Up & No Shopping, The Third Tunnel, The Third Tunnel,,
Secret Food Tours Seoul w/ Private Tour Option,N Seoul Tower,N Seoul Tower,,
Full-Day Busan City Tour / City & Yacht Experience Tour,Haedong Yonggungsa,Haedong Yonggungsa,,
Full-Day Busan City Tour / City & Yacht Experience Tour, Taejongdae, Taejongdae,,
Full-Day Busan City Tour / City & Yacht Experience Tour, Busan Gamcheon Culture Village, Busan Gamcheon Culture Village,,
Full-Day Busan City Tour / City & Yacht Experience Tour, Songdo Skywalk, Songdo Skywalk,,
Full-Day Busan City Tour / City & Yacht Experience Tour, Suyeongman Bay Yachting Center, Suyeongman Bay Yachting Center,,
 Private Tour Nami Island with Petite France 'and/or' The Garden of Morning Calm,Nami Island,Nami Island,,
 Private Tour Nami Island with Petite France 'and/or' The Garden of Morning Calm, Petite France, Petite France,,
 Private Tour Nami Island with Petite France 'and/or' The Garden of Morning Calm, The Garden of Morning Calm, The Garden of Morning Calm,,
DMZ TOUR with Exclusive North Korean Defector Meet-Up ,Imjingak Pyeonghoa-Nuri Park,Imjingak Pyeonghoa-Nuri Park,,
DMZ TOUR with Exclusive North Korean Defector Meet-Up , DMZ, DMZ,,
DMZ TOUR with Exclusive North Korean Defector Meet-Up , The Third Tunnel, The Third Tunnel,,
DMZ TOUR with Exclusive North Korean Defector Meet-Up , Dora Observatory, Dora Observatory,,
Seoul: South Korea DMZ Half & Full Day Tour (No Shopping),Imjingak Pyeonghoa-Nuri Park,Imjingak Pyeonghoa-Nuri Park,,
Seoul: South Korea DMZ Half & Full Day Tour (No Shopping), The Third Tunnel, The Third Tunnel,,
Seoul: South Korea DMZ Half & Full Day Tour (No Shopping), Dora Observatory, Dora Observatory,,
Seoul: South Korea DMZ Half & Full Day Tour (No Shopping), Dorasan Station, Dorasan Station,,
Seoul: South Korea DMZ Half & Full Day Tour (No Shopping), Gamaksan Chulleong Bridge, Gamaksan Chulleong Bridge,,
Small Group Full Day Busan Tour (Max 6 Pax),Dongbaekseom,Dongbaekseom,,
Small Group Full Day Busan Tour (Max 6 Pax), Haeundae Dalmaji-gil Road, Haeundae Dalmaji-gil Road,,
Small Group Full Day Busan Tour (Max 6 Pax), Haedong Yonggungsa Temple, Haedong Yonggungsa Temple,,
Small Group Full Day Busan Tour (Max 6 Pax), Busan, Busan,,
Small Group Full Day Busan Tour (Max 6 Pax), Gwangandaegyo Bridge, Gwangandaegyo Bridge,,
Small Group Full Day Busan Tour (Max 6 Pax), Songdo Skywalk, Songdo Skywalk,,
Small Group Full Day Busan Tour (Max 6 Pax), Busan Gamcheon Culture Village, Busan Gamcheon Culture Village,,
Small Group Full Day Busan Tour (Max 6 Pax), Jagalchi Market, Jagalchi Market,,
Small Group Full Day Busan Tour (Max 6 Pax), BIFF Square, BIFF Square,,
Small Group Full Day Busan Tour (Max 6 Pax), Gukje Market, Gukje Market,,
DMZ Full day with Gloucester Memorial & Suspension Bridge Tour,Imjingak Pyeonghoa-Nuri Park,Imjingak Pyeonghoa-Nuri Park,,
DMZ Full day with Gloucester Memorial & Suspension Bridge Tour, Gloster Hill Memorial Park, Gloster Hill Memorial Park,,
DMZ Full day with Gloucester Memorial & Suspension Bridge Tour, Gamaksan Chulleong Bridge, Gamaksan Chulleong Bridge,,
DMZ Full day with Gloucester Memorial & Suspension Bridge Tour, DMZ, DMZ,,
DMZ Full day with Gloucester Memorial & Suspension Bridge Tour, The Third Tunnel, The Third Tunnel,,
DMZ Full day with Gloucester Memorial & Suspension Bridge Tour, Dora Observatory, Dora Observatory,,
Life of Young Generation in Korea l Gangnam Tour,강남역사거리,강남역사거리,,
Life of Young Generation in Korea l Gangnam Tour, 호텔시애틀, 호텔시애틀,,
Life of Young Generation in Korea l Gangnam Tour, Gangnam Daeseong Cram School, Gangnam Daeseong Cram School,,
Life of Young Generation in Korea l Gangnam Tour, 한강공원 운동장, 한강공원 운동장,,
Private DMZ Spy Tour and talk with N.Korea Defector,Bugak Skyway,Bugak Skyway,,
Private DMZ Spy Tour and talk with N.Korea Defector, Bugak Palgakjeong Pavilion, Bugak Palgakjeong Pavilion,,
Private DMZ Spy Tour and talk with N.Korea Defector, The Blue House, The Blue House,,
Private DMZ Spy Tour and talk with N.Korea Defector, Odusan Unification Tower, Odusan Unification Tower,,
Private DMZ Peace Tour: 3rd Invasion Tunnel(Monorail) and Suspension Bridge,DMZ,DMZ,,
Private DMZ Peace Tour: 3rd Invasion Tunnel(Monorail) and Suspension Bridge, Mangbaedan, Mangbaedan,,
Private DMZ Peace Tour: 3rd Invasion Tunnel(Monorail) and Suspension Bridge, The Third Tunnel, The Third Tunnel,,
Private DMZ Peace Tour: 3rd Invasion Tunnel(Monorail) and Suspension Bridge, Dora Observatory, Dora Observatory,,
Private DMZ Peace Tour: 3rd Invasion Tunnel(Monorail) and Suspension Bridge, Gamaksan Chulleong Bridge, Gamaksan Chulleong Bridge,,
Private DMZ Peace Tour: 3rd Invasion Tunnel(Monorail) and Suspension Bridge, Majang Lake, Majang Lake,,
Day Trip to Nami Island with The Garden of Morning Calm,Nami Island,Nami Island,,
Day Trip to Nami Island with The Garden of Morning Calm, The Garden of Morning Calm, The Garden of Morning Calm,,
Nami Island Trip with Petite France & Italian Village and Gangchon Rail Bike,Gangchon Rail Park,Gangchon Rail Park,,
Nami Island Trip with Petite France & Italian Village and Gangchon Rail Bike, Nami Island, Nami Island,,
Nami Island Trip with Petite France & Italian Village and Gangchon Rail Bike, Petite France, Petite France,,
Full-Day Tour Unmissable things to do in Busan,Haedong Yonggungsa,Haedong Yonggungsa,,
Full-Day Tour Unmissable things to do in Busan, Cheongsapo, Cheongsapo,,
Full-Day Tour Unmissable things to do in Busan, Cheongsapo Daritdol Skywalk, Cheongsapo Daritdol Skywalk,,
Full-Day Tour Unmissable things to do in Busan, Huin Yeoulgil, Huin Yeoulgil,,
Full-Day Tour Unmissable things to do in Busan, Busan Gamcheon Culture Village, Busan Gamcheon Culture Village,,
Gyeongju UNESCO World Heritage Sites and History Full-Day Tour with Lunch,Cheomseongdae Observatory,Cheomseongdae Observatory,,
Gyeongju UNESCO World Heritage Sites and History Full-Day Tour with Lunch, Donggung Palace & Wolji Pond, Donggung Palace & Wolji Pond,,
Gyeongju UNESCO World Heritage Sites and History Full-Day Tour with Lunch, Gyeongju Gyochon Traditional Village, Gyeongju Gyochon Traditional Village,,
Gyeongju UNESCO World Heritage Sites and History Full-Day Tour with Lunch, Daereungwon Tomb Complex, Daereungwon Tomb Complex,,
Gyeongju UNESCO World Heritage Sites and History Full-Day Tour with Lunch, Seokguram, Seokguram,,
Gyeongju UNESCO World Heritage Sites and History Full-Day Tour with Lunch, Bulguksa Temple, Bulguksa Temple,,
Full day Private Gyeongju UNESCO Heritage Tour : a glimpse into Silla ,Bulguksa Temple,Bulguksa Temple,35.788994849999995,129.33089016509152
Full day Private Gyeongju UNESCO Heritage Tour : a glimpse into Silla , Seokguram, Seokguram,35.7948033,129.34919535629723
Full day Private Gyeongju UNESCO Heritage Tour : a glimpse into Silla , Shilla Arts and Science Museum, Shilla Arts and Science Museum,,
Full day Private Gyeongju UNESCO Heritage Tour : a glimpse into Silla , Daereungwon Tomb Complex, Daereungwon Tomb Complex,35.8382358,129.2121151
Full day Private Gyeongju UNESCO Heritage Tour : a glimpse into Silla , Gyeongju Gyochon Traditional Village, Gyeongju Gyochon Traditional Village,,
Full day Private Gyeongju UNESCO Heritage Tour : a glimpse into Silla , Gyeongju National Museum, Gyeongju National Museum,35.82983835,129.22793041953392
Full day Private Gyeongju UNESCO Heritage Tour : a glimpse into Silla , Donggung Palace and Wolji Pond, Donggung Palace and Wolji Pond,35.834700299999994,129.22643753548851
Highlights & Hidden Gems With Locals: Best of Seoul Private Walking Tour,Gwangjang Market,Gwangjang Market,37.57018895,126.99949953193749
Highlights & Hidden Gems With Locals: Best of Seoul Private Walking Tour, Jogyesa Temple, Jogyesa Temple,37.5741432,126.98191198171496
Highlights & Hidden Gems With Locals: Best of Seoul Private Walking Tour, Bukchon Hanok Village, Bukchon Hanok Village,37.5823919,126.9858648
